basements,category_code,central_air,depth,exempt_building,exempt_land,exterior_condition,fireplaces,frontage,garage_spaces,general_construction,homestead_exemption,interior_condition,market_value,number_of_bathrooms,number_of_bedrooms,number_stories,off_street_open,parcel_shape,street_code,taxable_land,total_area,total_livable_area,type_heater,view_type,year_built,zip_code
5,0,0,95.0,80000.0,0.0,3,0,20.0,0.0,7,80000,4,253900.0,1.0,3.0,2.0,6102.0,4,2290,50780.0,1897.0,1360.0,6,6,1975.0,19154.0
11,1,1,110.0,0.0,0.0,4,0,28.0,2.0,7,0,4,294700.0,0.0,0.0,2.0,2824.0,4,2268,58940.0,3070.0,1880.0,6,6,1950.0,19111.0
3,1,0,101.0,0.0,0.0,4,0,20.0,2.0,8,0,4,205300.0,2.0,3.0,2.0,3350.0,4,640,41060.0,2036.0,1320.0,1,6,1965.0,19135.0
11,0,0,80.0,0.0,0.0,4,0,16.0,0.0,7,0,4,147400.0,1.0,3.0,2.0,451.0,4,3189,29480.0,1280.0,1404.0,6,6,1925.0,19143.0
11,0,0,0.0,0.0,0.0,4,0,0.0,0.0,7,0,4,172300.0,0.0,0.0,1.0,1273.0,4,2910,17200.0,0.0,450.0,6,1,1973.0,19106.0
2,0,0,70.0,0.0,0.0,4,0,15.0,0.0,7,0,4,95900.0,1.0,2.0,2.0,745.0,4,2564,19180.0,1026.0,822.0,1,6,1928.0,19137.0
5,0,0,100.0,80000.0,0.0,4,0,16.0,1.0,7,80000,4,167400.0,1.0,0.0,2.0,2348.0,4,3240,33480.0,1600.0,1120.0,6,6,1949.0,19151.0
10,0,1,50.0,80000.0,0.0,4,0,19.0,1.0,8,80000,3,550500.0,3.0,3.0,3.0,409.0,4,3085,110100.0,950.0,2851.0,0,6,2009.0,19147.0
3,0,0,62.0,103200.0,0.0,3,0,15.0,0.0,7,0,4,251100.0,1.0,3.0,2.0,1128.0,4,2554,50220.0,930.0,1416.0,6,6,1920.0,19145.0
2,0,0,100.0,0.0,0.0,4,0,26.0,0.0,7,0,4,197600.0,1.0,3.0,2.0,1973.0,4,2631,39520.0,2591.0,1176.0,0,6,1950.0,19111.0
3,0,0,80.0,0.0,0.0,4,0,16.0,0.0,7,0,4,231800.0,1.0,2.0,2.0,2704.0,4,671,46360.0,1293.0,960.0,6,6,1939.0,19129.0
3,0,0,54.0,0.0,0.0,4,0,14.0,0.0,7,0,4,108800.0,1.0,3.0,2.0,749.0,4,2931,21760.0,761.0,784.0,6,6,1920.0,19134.0
4,0,0,71.0,80000.0,0.0,4,0,18.0,1.0,7,80000,3,180100.0,1.0,3.0,2.0,2703.0,4,2053,36020.0,1284.0,1188.0,6,6,1953.0,19136.0
5,0,1,144.0,80000.0,0.0,4,0,16.0,1.0,7,80000,4,178200.0,1.0,3.0,2.0,2895.0,4,1781,35640.0,2304.0,1120.0,6,0,1957.0,19120.0
7,0,0,90.0,80000.0,0.0,4,0,20.0,1.0,7,80000,4,247800.0,1.0,3.0,2.0,6490.0,4,3065,49560.0,1797.0,1360.0,6,6,1963.0,19154.0
3,0,1,96.0,80000.0,0.0,3,0,18.0,0.0,11,80000,4,212700.0,1.0,3.0,1.0,5903.0,0,649,42500.0,1748.0,1418.0,6,6,1958.0,19131.0
11,0,0,0.0,0.0,0.0,4,0,0.0,0.0,7,0,4,172300.0,0.0,0.0,1.0,1273.0,4,2910,17200.0,0.0,415.0,6,0,1973.0,19106.0
5,0,0,104.0,0.0,0.0,4,0,18.0,1.0,7,0,4,184700.0,1.0,3.0,2.0,1797.0,4,875,36940.0,1872.0,1260.0,0,6,1950.0,19149.0
3,0,0,75.0,0.0,0.0,4,0,16.0,0.0,7,0,4,118000.0,1.0,3.0,2.0,4656.0,4,2109,23600.0,1200.0,896.0,6,6,1934.0,19120.0
11,0,0,80.0,80000.0,0.0,4,0,14.0,0.0,7,80000,4,101800.0,1.0,3.0,2.0,2323.0,4,1014,20360.0,1120.0,1048.0,6,6,1925.0,19104.0
11,0,0,67.0,0.0,0.0,4,0,14.0,0.0,7,0,4,69000.0,1.0,3.0,2.0,2531.0,4,22,13800.0,938.0,952.0,6,6,1920.0,19142.0
7,0,0,70.0,0.0,0.0,4,0,18.0,1.0,7,0,4,132400.0,1.0,3.0,2.0,2324.0,4,2478,26480.0,1254.0,1290.0,1,6,1940.0,19124.0
3,0,1,89.0,0.0,0.0,5,0,18.0,0.0,7,0,4,142600.0,0.0,0.0,1.0,4304.0,4,932,28520.0,1629.0,810.0,0,6,1950.0,19145.0
3,0,0,56.0,0.0,0.0,4,0,15.0,0.0,11,0,4,94600.0,1.0,3.0,2.0,3861.0,4,443,18920.0,840.0,1050.0,6,6,1984.0,19124.0
5,0,0,115.0,80000.0,0.0,4,0,29.0,1.0,7,80000,4,215000.0,0.0,0.0,1.0,1231.0,4,1928,43000.0,3282.0,1005.0,6,6,1956.0,19152.0
3,0,0,90.0,80000.0,0.0,4,0,16.0,0.0,7,80000,4,122200.0,1.0,2.0,2.0,675.0,4,870,24440.0,1440.0,1280.0,6,6,1930.0,19135.0
5,0,0,90.0,0.0,0.0,4,0,16.0,1.0,7,0,4,202500.0,1.0,3.0,2.0,537.0,4,414,40500.0,1477.0,1152.0,1,6,1950.0,19149.0
11,0,0,50.0,54400.0,13600.0,4,0,15.0,0.0,7,68000,4,68000.0,1.0,3.0,2.0,1229.0,4,2609,0.0,725.0,1078.0,6,6,1925.0,19131.0
11,1,0,87.0,0.0,0.0,4,0,129.0,0.0,7,0,4,272500.0,0.0,0.0,2.0,3510.0,4,3097,54500.0,11223.0,3800.0,6,6,1935.0,19126.0
4,0,1,75.0,80000.0,0.0,4,5,29.0,0.0,7,80000,4,2959200.0,6.0,7.0,3.0,847.0,4,745,591840.0,2175.0,6380.0,0,6,1821.0,19103.0
11,1,0,90.0,0.0,0.0,4,0,29.0,2.0,7,0,4,283700.0,0.0,0.0,2.0,4186.0,0,917,56740.0,2583.0,1838.0,6,6,1972.0,19116.0
11,0,1,0.0,80000.0,0.0,4,0,0.0,1.0,7,80000,4,327100.0,1.0,0.0,1.0,344.0,4,2178,32700.0,0.0,1262.0,0,6,1960.0,19130.0
11,0,0,0.0,80000.0,0.0,4,0,0.0,0.0,7,80000,4,170300.0,0.0,0.0,1.0,2202.0,4,400,29000.0,0.0,1074.0,6,6,1980.0,19116.0
5,0,0,65.0,0.0,0.0,4,0,16.0,1.0,7,0,4,85500.0,1.0,3.0,2.0,3766.0,4,2751,17100.0,1038.0,960.0,6,6,1925.0,19142.0
5,0,0,99.0,80000.0,0.0,4,0,38.0,1.0,7,80000,4,281200.0,1.0,4.0,2.0,5494.0,4,2673,56240.0,3761.0,1666.0,6,6,1967.0,19111.0
3,0,0,75.0,91700.0,0.0,5,0,17.0,0.0,7,0,4,143900.0,1.0,4.0,3.0,646.0,4,224,28780.0,1275.0,1290.0,1,6,1905.0,19144.0
6,0,0,62.0,80000.0,0.0,4,0,15.0,1.0,7,0,4,117800.0,1.0,3.0,2.0,2566.0,4,1156,23560.0,930.0,1104.0,1,6,1940.0,19124.0
11,0,0,92.0,0.0,0.0,4,0,40.0,0.0,7,0,4,350000.0,0.0,0.0,2.0,1372.0,4,2699,70000.0,3660.0,3277.0,6,6,1900.0,19125.0
7,0,0,130.0,80000.0,0.0,4,0,26.0,0.0,7,80000,4,239800.0,0.0,0.0,2.0,4672.0,4,1344,47960.0,3368.0,1224.0,6,6,1960.0,19114.0
9,0,0,120.0,0.0,0.0,4,0,18.0,1.0,15,80000,4,191500.0,1.0,3.0,2.0,2426.0,4,1019,38300.0,2160.0,1260.0,0,6,1950.0,19150.0
11,0,0,60.0,0.0,0.0,7,0,14.0,0.0,7,0,4,35200.0,1.0,2.0,2.0,810.0,4,2952,7040.0,836.0,746.0,6,6,1925.0,19131.0
7,0,0,70.0,0.0,0.0,4,0,15.0,1.0,7,0,4,113300.0,1.0,3.0,2.0,3312.0,4,1534,22660.0,1061.0,978.0,0,6,1925.0,19138.0
2,1,0,38.0,0.0,0.0,4,0,14.0,0.0,7,0,4,530100.0,2.0,3.0,3.0,753.0,4,3085,158900.0,533.0,1904.0,0,6,1920.0,19147.0
3,0,0,69.0,80000.0,0.0,3,0,16.0,0.0,7,80000,4,128100.0,1.0,3.0,2.0,2935.0,4,492,25620.0,1101.0,1168.0,6,6,1928.0,19120.0
2,0,1,100.0,80000.0,0.0,4,0,26.0,0.0,7,80000,4,213500.0,1.0,3.0,2.0,1655.0,4,783,42700.0,2570.0,1188.0,0,6,1950.0,19111.0
11,0,0,70.0,80000.0,0.0,4,0,16.0,0.0,7,80000,4,124300.0,0.0,0.0,3.0,1580.0,4,3103,24800.0,1120.0,2220.0,6,6,1915.0,19133.0
11,0,0,61.0,0.0,0.0,5,0,15.0,0.0,7,0,4,105400.0,1.0,3.0,2.0,2051.0,4,1035,21080.0,915.0,1080.0,6,6,1950.0,19120.0
11,0,0,85.0,281400.0,0.0,4,0,25.0,0.0,7,0,4,353400.0,0.0,0.0,3.0,468.0,4,2256,70600.0,2125.0,2618.0,6,6,1915.0,19104.0
5,0,1,112.0,80000.0,0.0,4,0,60.0,1.0,7,80000,4,408700.0,0.0,0.0,2.0,5872.0,4,2364,81740.0,6720.0,2502.0,0,6,1965.0,19115.0
3,0,0,61.0,0.0,0.0,4,0,16.0,0.0,7,0,4,251200.0,1.0,4.0,2.0,1931.0,4,2574,50200.0,946.0,1570.0,6,6,1925.0,19145.0
5,0,0,144.0,80000.0,0.0,4,0,18.0,0.0,7,80000,4,220300.0,1.0,3.0,2.0,4695.0,4,283,44060.0,2599.0,1152.0,6,6,1965.0,19154.0
5,0,1,88.0,0.0,0.0,4,0,21.0,1.0,7,0,4,216600.0,1.0,4.0,2.0,1600.0,4,3210,43320.0,1848.0,1662.0,6,6,1920.0,19151.0
5,0,0,76.0,0.0,0.0,4,0,15.0,1.0,7,0,4,95000.0,1.0,2.0,2.0,4351.0,4,771,19000.0,1137.0,1200.0,6,6,1925.0,19142.0
5,0,0,100.0,80000.0,0.0,4,0,25.0,1.0,7,80000,4,274400.0,1.0,4.0,2.0,5942.0,4,2672,54880.0,2541.0,1640.0,6,6,1964.0,19111.0
0,0,0,52.0,0.0,0.0,4,0,14.0,0.0,7,0,3,279600.0,1.0,3.0,2.0,1123.0,4,1535,55920.0,729.0,1036.0,6,6,1920.0,19145.0
11,0,0,50.0,0.0,0.0,4,0,15.0,0.0,7,0,4,50100.0,1.0,3.0,2.0,1902.0,4,931,10000.0,729.0,1060.0,6,6,1915.0,19121.0
3,0,0,60.0,0.0,0.0,4,0,14.0,0.0,7,0,4,58400.0,1.0,3.0,1.0,717.0,4,2841,11680.0,840.0,1200.0,6,6,1925.0,19132.0
3,0,0,54.0,0.0,0.0,4,0,18.0,0.0,7,58600,5,58600.0,1.0,4.0,2.0,664.0,4,2262,11720.0,975.0,1044.0,0,6,1905.0,19138.0
0,0,0,66.0,0.0,0.0,4,0,20.0,0.0,7,0,3,252400.0,1.0,3.0,2.0,1856.0,4,1432,50480.0,1325.0,1116.0,6,6,1960.0,19148.0
11,0,1,0.0,80000.0,0.0,2,0,0.0,0.0,13,0,3,451400.0,2.0,3.0,1.0,906.0,4,534,67600.0,0.0,1451.0,0,6,1900.0,19146.0
11,0,1,72.0,0.0,0.0,4,0,16.0,0.0,7,0,4,97100.0,1.0,3.0,2.0,2343.0,4,384,19400.0,1158.0,1120.0,0,6,1925.0,19142.0
3,0,0,46.0,0.0,0.0,3,0,15.0,0.0,7,0,4,205200.0,1.0,3.0,2.0,1178.0,4,2412,41040.0,690.0,1050.0,6,6,1920.0,19145.0
11,0,0,45.0,80000.0,0.0,4,0,14.0,0.0,7,80000,4,153200.0,1.0,3.0,2.0,370.0,4,1924,30640.0,630.0,840.0,6,6,1920.0,19122.0
0,0,1,85.0,80000.0,0.0,2,0,16.0,1.0,7,80000,2,213500.0,1.0,3.0,2.0,2218.0,4,325,42700.0,1362.0,1056.0,1,6,1925.0,19126.0
10,1,0,110.0,0.0,0.0,4,0,20.0,0.0,7,0,4,237100.0,0.0,0.0,2.0,6340.0,4,2476,47420.0,2200.0,1847.0,0,6,1976.0,19114.0
5,0,1,102.0,80000.0,0.0,4,0,60.0,1.0,9,80000,4,359800.0,0.0,0.0,2.0,3800.0,4,2517,71960.0,6114.0,1884.0,6,6,1986.0,19116.0
9,0,0,110.0,80000.0,0.0,4,1,80.0,2.0,7,80000,4,309900.0,0.0,3.0,2.0,4810.0,4,737,61980.0,8800.0,1254.0,1,6,1950.0,19128.0
5,0,0,79.0,0.0,0.0,4,0,16.0,1.0,7,0,4,122100.0,1.0,3.0,2.0,2467.0,4,870,24420.0,1257.0,1140.0,6,6,1930.0,19135.0
0,0,0,60.0,0.0,0.0,3,0,18.0,0.0,7,0,3,369700.0,1.0,3.0,2.0,934.0,4,1739,73940.0,1087.0,1464.0,1,6,1920.0,19147.0
