basements,building_code_description,category_code,central_air,depth,exempt_building,exempt_land,exterior_condition,fireplaces,frontage,garage_spaces,general_construction,homestead_exemption,interior_condition,market_value,number_of_bathrooms,number_of_bedrooms,number_stories,off_street_open,parcel_shape,quality_grade,street_code,taxable_building,taxable_land,total_area,total_livable_area,type_heater,view_type,year_built,zip_code,zoning,pin,building_code_new,building_code_description_new,lat,lng
,VACANT LAND RESIDE < ACRE,6,,69.0,0.0,0.0,,,50.0,,,0,,0.0,,,,377.0,A,,33280.0,0.0,0.0,5093.0,,,,,19123.0,ICMX,1001206456,,,39.96277166528522,-75.1460354483123
,VACANT LAND RESIDE < ACRE,6,,164.0,0.0,0.0,,,55.0,,,0,,0.0,,,,441.0,B,,67120.0,0.0,0.0,13600.0,,,,,19106.0,CMX3,1001437580,,,39.95331977529341,-75.14196751725746
,PKG LOT NON COMMERCIAL,6,,185.0,0.0,0.0,,,59.0,,,0,,0.0,,,,433.0,A,,43800.0,0.0,0.0,5212.0,,,,,19122.0,RSA5,1001281904,,,39.97130217530572,-75.1363026702901
,VACANT LAND RESIDE < ACRE,6,,,0.0,0.0,,,,,,0,,0.0,,,,910.0,,,88160.0,0.0,0.0,,,,,,19146.0,,1001632272,,,39.94584551981169,-75.17323570632135
,PKG LOT NON COMMERCIAL,6,,175.0,0.0,0.0,,,33.0,,,0,,0.0,,,,408.0,B,,23060.0,0.0,0.0,8732.0,,,,,19147.0,CMX2,1001143652,,,39.93832340759664,-75.1570326591642
,VACANT LAND RESIDE < ACRE,6,,105.0,0.0,0.0,,,25.0,,,0,,0.0,,,,150.0,B,,35200.0,0.0,0.0,4332.0,,,,,19123.0,CMX3,1001228409,,,39.96168592470501,-75.1389442690589
,VACANT LAND RESIDE < ACRE,6,,120.0,0.0,0.0,,,32.0,,,0,,0.0,,,,765.0,B,,61580.0,0.0,0.0,9906.0,,,,,19123.0,CMX2,1001401240,,,39.964629452539285,-75.14307746240556
,VACANT LAND RESIDE < ACRE,6,,89.0,0.0,0.0,,,31.0,,,0,,0.0,,,,214.0,B,,87870.0,0.0,0.0,3068.0,,,,,19123.0,CMX1,1001591333,,,39.96313764282966,-75.14483754003422
,PKG LOT NON COMMERCIAL,6,,43.0,0.0,0.0,,,51.0,,,0,,0.0,,,,435.0,B,,87900.0,0.0,0.0,1554.0,,,,,19147.0,RSA5,1001596965,,,39.93709966812223,-75.15263201976295
,VACANT LAND RESIDE < ACRE,6,,88.0,0.0,0.0,,,32.0,,,0,,0.0,,,,1308.0,A,,18100.0,0.0,0.0,3525.0,,,,,19123.0,CMX3,1001094034,,,39.96787232990249,-75.14108085589905
,VACANT LAND RESIDE < ACRE,6,,44.0,0.0,0.0,,,160.0,,,0,,0.0,,,,1060.0,A,,65260.0,0.0,0.0,10967.0,,,,,19123.0,RSA5,1001430746,,,39.96706685767916,-75.14615444716026
,VACANT LAND RESIDE < ACRE,6,,155.0,0.0,0.0,,,10.0,,,0,,0.0,,,,341.0,A,,35200.0,0.0,0.0,1543.0,,,,,19123.0,CMX3,1001228485,,,39.963726527559686,-75.13745539004756
,VACANT LAND RESIDE < ACRE,6,,164.0,0.0,0.0,,,18.0,,,0,,0.0,,,,341.0,A,,35200.0,0.0,0.0,3346.0,,,,,19123.0,CMX3,1001228484,,,39.96382402212767,-75.1374123461447
,VACANT LAND RESIDE < ACRE,6,,146.0,0.0,0.0,,,37.0,,,0,,0.0,,,,1283.0,E,,12440.0,0.0,0.0,5379.0,,,,,19123.0,CMX3,1001064078,,,39.96837659768528,-75.14097333091989
,VACANT LAND RESIDE < ACRE,6,,145.0,0.0,0.0,,,4.0,,,0,,0.0,,,,1283.0,E,,12440.0,0.0,0.0,533.0,,,,,19123.0,CMX3,1001064079,,,39.96816174946669,-75.1410191677074
,VACANT LAND RESIDE < ACRE,6,,145.0,0.0,0.0,,,4.0,,,0,,0.0,,,,1283.0,E,,12440.0,0.0,0.0,531.0,,,,,19123.0,CMX3,1001064058,,,39.96789626719947,-75.14107577595705
,VACANT LAND RESIDE < ACRE,6,,145.0,0.0,0.0,,,36.0,,,0,,0.0,,,,1283.0,E,,12440.0,0.0,0.0,5176.0,,,,,19123.0,CMX3,1001064057,,,39.96810846601734,-75.14103051554518
,VACANT LAND RESIDE < ACRE,6,,1701.0,0.0,0.0,,,1.0,,,0,,0.0,,,,756.0,A,,38420.0,0.0,0.0,1701.0,,,,,19123.0,RM1,1001252979,,,39.96145374418008,-75.14253619099675
,VACANT LAND RESIDE < ACRE,6,,5706.0,0.0,0.0,,,1.0,,,0,,0.0,,,,774.0,E,,35200.0,0.0,0.0,17495.0,,,,,19123.0,CMX3,1001228516,,,39.96782598873724,-75.13672565280262
,VACANT LAND RESIDE < ACRE,6,,90.0,0.0,0.0,,,15.0,,,0,,0.0,,,,377.0,A,,33280.0,0.0,0.0,1327.0,,,,,19123.0,ICMX,1001206466,,,39.96288842796962,-75.14625524362701
,VACANT LAND RESIDE < ACRE,6,,94.0,0.0,0.0,,,196.0,,,0,,0.0,,,,3229.0,A,,35200.0,0.0,0.0,16682.0,,,,,19123.0,CMX4,1001228336,,,39.95779161242631,-75.14022183290717
,VACANT LAND RESIDE < ACRE,6,,256.0,0.0,0.0,,,25.0,,,0,,0.0,,,,1284.0,A,,21880.0,0.0,0.0,46905.0,,,,,19134.0,RSA5,1001124565,,,39.99145897715201,-75.09253430091161
,VACANT LAND RESIDE < ACRE,6,,120.0,0.0,0.0,,,24.0,,,0,,0.0,,,,4719.0,A,,65690.0,0.0,0.0,2881.0,,,I,,19145.0,RM1,1001434428,,,39.90783489373148,-75.18432306335593
,VACANT LAND RESIDE < ACRE,6,,82.0,0.0,0.0,,,40.0,,,0,,0.0,,,,4419.0,E,,21245.0,0.0,0.0,3280.0,,,,,19145.0,RM1,1001120112,,,39.90874556431238,-75.1859887043482
,VACANT LAND RESIDE ACRE+,6,,242.0,0.0,0.0,,,428.0,,,0,,0.0,,,,4576.0,B,,54640.0,0.0,0.0,105233.0,,,,,19118.0,RSD1,1001359441,,,40.056718772680114,-75.20662153753355
,VACANT LAND RESIDE < ACRE,6,,84.0,0.0,0.0,,,73.0,,,0,,0.0,,,,4833.0,A,,72815.0,0.0,0.0,8414.0,,,I,,19145.0,RM1,1001484533,,,39.90801319913383,-75.18869361554815
,VACANT LAND RESIDE < ACRE,6,,130.0,0.0,0.0,,,54.0,,,0,,0.0,,,,4797.0,E,,68045.0,0.0,0.0,7097.0,,,I,,19145.0,RM1,1001446168,,,39.90817513828723,-75.18632108087701
,VACANT LAND RESIDE < ACRE,6,,122.0,0.0,0.0,,,53.0,,,0,,0.0,,,,4641.0,E,,68045.0,0.0,0.0,6428.0,,,I,,19145.0,RM1,1001446145,,,39.90841748004394,-75.18432954209206
,VACANT LAND RESIDE < ACRE,6,,2058.0,0.0,0.0,,,1.0,,,0,,0.0,,,,121.0,B,,67120.0,0.0,0.0,2058.0,,,,,19106.0,CMX3,1001437638,,,39.95375563401954,-75.14417551987378
,,6,,39.0,0.0,0.0,,,14.0,,,0,,0.0,,,,,,,58890.0,0.0,0.0,4929.0,,,,,19145.0,RSA5,1001683080,,,39.91139413041368,-75.18926686386264
,VACANT LAND RESIDE < ACRE,6,,42.0,0.0,0.0,,,6.0,,,0,,0.0,,,,462.0,E,,51520.0,0.0,0.0,260.0,,,,,19147.0,RM1,1001334553,,,39.94266760750676,-75.15030335937415
1,IND WAREHOUSE MASONRY,1,Y,,0.0,0.0,1.0,1.0,,3.0,3 ,0,1.0,0.0,4.0,4.0,3.0,553.0,E,,88270.0,0.0,0.0,,5180.0,A,I,2023.0,,,1001685281,25,ROW MODERN,,
1,IND WAREHOUSE MASONRY,1,Y,,0.0,0.0,2.0,1.0,,3.0,3 ,0,2.0,0.0,4.0,4.0,3.0,553.0,E,,88270.0,0.0,0.0,,5180.0,A,I,2023.0,,,1001685280,25,ROW MODERN,,
1,IND WAREHOUSE MASONRY,1,Y,,0.0,0.0,1.0,1.0,,3.0,3 ,0,1.0,0.0,4.0,4.0,3.0,553.0,E,,18280.0,0.0,0.0,,5180.0,A,I,2023.0,19103.0,,1001685282,25,ROW MODERN,39.95229435256034,-75.17881012194981
,VACANT LAND RESIDE < ACRE,6,,,0.0,0.0,,,,,,0,,0.0,,,,774.0,E,,35200.0,0.0,0.0,,,,,,19123.0,CMX3,1001681152,,,39.96793169971798,-75.13681190304311
1,IND WAREHOUSE MASONRY,1,Y,,0.0,0.0,1.0,1.0,,3.0,3 ,0,1.0,0.0,4.0,4.0,3.0,553.0,E,,18280.0,0.0,0.0,,5180.0,A,I,2023.0,,,1001685283,25,ROW MODERN,,
,VACANT LAND INDUST ACRE+,1,,,0.0,0.0,,,,,,0,,0.0,,,,,B,,49980.0,0.0,0.0,,,,I,,19125.0,ICMX,1001677562,,,39.98613557829443,-75.12053171872572
,VACANT LAND INDUST < ACRE,13,,40.0,0.0,0.0,,,20.0,,,0,,0.0,,,,,E,,87940.0,0.0,0.0,13326.0,,,I,,19148.0,RSA5,1001677680,,,39.92617299315326,-75.15665489422706
,,6,,39.0,0.0,0.0,,,14.0,,,0,,0.0,,,,,,,69150.0,0.0,0.0,66458.0,,,,,19145.0,RSA5,1001683084,,,39.91204117206084,-75.18724189727023
,,6,,36.0,0.0,0.0,,,128.0,,,0,,0.0,,,,,,,58890.0,0.0,0.0,8264.0,,,,,19145.0,RSA5,1001683075,,,39.9080584145909,-75.1910145347385
,VACANT LAND RESIDE < ACRE,6,,,0.0,0.0,,,,,,0,,0.0,,,,1342.0,E,,53300.0,0.0,0.0,,,,I,,19104.0,RSA5,1001682255,,,39.96657197528251,-75.1915507560087
